product_id,category,animal,size,price,sales,rating,repeat_purchase,sales_per_unit_price,is_high_rating
1,Food,Bird,large,51.1,1860.62,7.0,1,36.41135029354207,1
2,Housing,Bird,MEDIUM,35.98,963.6,6.0,0,26.781545302946085,1
3,Food,Dog,medium,31.23,898.3,5.0,1,28.76400896573807,1
4,Medicine,Cat,small,24.95,982.15,6.0,1,39.364729458917836,1
5,Housing,Cat,Small,26.18,832.63,7.0,1,31.804048892284186,1
6,Housing,Dog,Small,30.77,874.58,7.0,0,28.423139421514463,1
7,Housing,Dog,Small,31.04,875.07,5.0,0,28.1916881443299,1
8,Toys,Cat,medium,28.9,1074.31,4.0,0,37.17335640138408,0
9,Equipment,Fish,MEDIUM,17.82,503.67,5.0,0,28.264309764309765,1
10,Medicine,Dog,medium,24.93,838.88,8.0,0,33.649418371440035,1
11,Food,Dog,Large,40.87,1457.22,7.0,1,35.65500367017373,1
12,Medicine,Bird,MEDIUM,34.96,1204.6,5.0,1,34.45652173913043,1
13,Food,Dog,MEDIUM,31.07,889.73,4.0,0,28.636305117476667,0
14,Food,Dog,large,40.8,1450.5,6.0,1,35.5514705882353,1
15,Accessory,Bird,medium,33.13,859.29,4.0,1,25.93691518261394,0
16,Accessory,Bird,large,43.09,1418.72,1.0,1,32.92457646785797,0
17,Equipment,Cat,small,28.29,1040.51,5.0,1,36.780134323082365,1
18,Toys,Bird,medium,43.91,1521.51,3.0,1,34.650649054884994,0
19,Toys,Cat,Small,33.87,1333.9,6.0,0,39.38293475051669,1
20,Toys,Dog,large,44.0,1792.63,7.0,1,40.74159090909091,1
21,Food,Fish,medium,28.064999999999998,542.06,4.9911111111111115,0,19.314448601460892,0
22,Food,Dog,large,41.0,1456.58,3.0,0,35.52634146341463,0
23,-,Bird,MEDIUM,32.98,859.94,3.0,0,26.074590661006674,0
24,Equipment,Cat,medium,22.99,790.26,4.0,0,34.37407568508047,0
25,Toys,Dog,Small,38.99,1410.66,3.0,0,36.18004616568351,0
